Post Date,Description,Debit,Credit,Balance,Card,Transaction Type,Purchase Type,Monthly
4/12/2022,Uncollected Fee/Due since 04/04/22 - Courtesy Pay-Ck,34,,1672.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/04/22 - Courtesy Pay-ACH,34,,1706.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/03/22 - Courtesy Pay-Dbt,34,,1740.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/03/22 - Courtesy Pay-Dbt,34,,1774.56,NA,B,Fee,N
4/12/2022,Uncollected Fee/Due since 04/03/22 - Courtesy Pay-Dbt,34,,1808.56,NA,B,Fee,N
4/12/2022,Withdrawal ACH WELLS FARGO BANK/TYPE: RESERVE ID: WFRETAIL01 DATA: 15:OTISRSF CO: WELLS FARGO BANK,972.3,,7664.7,0001,P,Credit Card,N
4/12/2022,Withdrawal POS #210218015222/POS AUSTIN FAMILY MEDICINE AUSTIN TX Card 0001 Merchant Category Code: 8011,30,,8723,0001,P,Medical,N
4/13/2022,"Deposit Bulk/Checks 18,127.50 Check Count 12 Deposit Number 0000043",,18127.5,21969.1,NA,B,Deposit,N
4/13/2022,"Deposit Bulk/Checks 1,136.63 Check Count 1 Deposit Number 0000025",,1136.63,3841.6,NA,B,Deposit,N
4/13/2022,Withdrawal DEBIT CARD/SHELL OIL 57546015504 CEDAR PARK TX Date 04/12/22 24316052103548460059078 Card 2272Merchant Category Code: 5541,34.62,,3651.93,3341,B,Gas,N
4/13/2022,Withdrawal DEBIT CARD/SHELL OIL 10012713003 AUSTIN TX Date 04/12/22 24316052103548199743455 Card 2272Merchant Category Code: 5541,20.56,,3686.55,3341,B,Gas,N
4/13/2022,Check 2502 Tracer 813900000346001,2210,,3707.11,NA,B,Labor,N
4/13/2022,Withdrawal Cash,4000,,17969.1,NA,B,Withdrawal,N
4/13/2022,Withdrawal POS #575065/POS EL RANCHO SUPERMARKET#18 8752 BLVD AUSTIN TX Card 2272Merchant Category Code: 5411,19.14,,2704.97,3341,P,Food,N
4/13/2022,Withdrawal POS #210314332341/POS WALGREENS STORE 1505 W WH CEDAR PARK TX Card 0001Merchant Category Code: 5912,68.47,,2724.11,0001,P,Groceries,N
4/13/2022,Withdrawal POS #210300494520/POS 7-ELEVEN 2020 E 7th St Austin TX Card 2675 Merchant Category Code: 5542,30.32,,2792.58,2675,B,Gas,N
4/13/2022,Withdrawal DEBIT CARD/SALTGRASS AUSTIN AUSTIN TX Date 04/12/22 24943002103207688500159 Card 2272Merchant Category Code: 5812,45.68,,3031.9,3341,P,Food,N
4/13/2022,Withdrawal DEBIT CARD/WALGREENS #7061 CEDAR PARK TX Date 04/12/22 24445002103000731294398 Card 0001Merchant Category Code: 5912,20.51,,3077.58,0001,P,Groceries,N
4/13/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 04/12/22 24427332102740274669183 Card 4969Merchant Category Code: 5411,104.12,,3098.09,4969,P,Groceries,N
4/13/2022,Recurring Withdrawal DEBIT CARD/MCW308-WHITESTONE 866-2543229 TX Date 04/12/22 24071052102939187743811 Card 2272Merchant Category Code: 7542,19.99,,3202.21,3341,B,Gas,N
4/13/2022,Withdrawal ACH WEBFILE TAX PYMT/TYPE: DD ID: 2146000311 DATA: CPA TAX PAYMENTS CO: WEBFILE TAX PYMT,6051.99,,5917.11,NA,B,Tax,Y
4/13/2022,Withdrawal ACH Fortiva PMT/TYPE: ePay ID: L270475776 CO: Fortiva PMT,175,,2856.9,0001,B,Credit Card,N
4/13/2022,Withdrawal Overdrawn ACH/WEBFILE TAX PYMT,34,,2822.9,NA,B,Tax,Y
4/14/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,3494.16,,-1079.33,0001,B,Credit Card,Y
4/14/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,35,,3574.89,0001,B,Credit Card,Y
4/14/2022,"Deposit Bulk/Checks 1,284.28 Check Count 2 Deposit Number 0000059",,1284.28,97.78,NA,B,Deposit,N
4/14/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 04/13/22 24427332103740277253935 Card 2272Merchant Category Code: 5411,42.04,,3609.89,3341,P,Groceries,N
4/14/2022,Withdrawal ACH LendingClub/TYPE: 8885963157 ID: 8510605731 DATA: Y CO: LendingClub,498.15,,3076.74,0001,B,Loan,Y
4/14/2022,Withdrawal ACH FARMERS INS EXCH/TYPE: INSPAYMENT ID: 2432215866 DATA: BILL PAYMENT CO: FARMERS INS EXCH,661.91,,2414.83,NA,B,Auto Insurance,Y
4/14/2022,Withdrawal POS #210481053501/POS THE HOME DEPOT #0509 11301 LAKELINE AUSTIN TX Card 2272Merchant Category Code: 5200,107.17,,-1186.5,3341,B,Supplies,N
4/15/2022,Withdrawal ACH ADP PAYROLL FEES/TYPE: ADP - FEES ID: 9659605001 DATA: OT CO: ADP PAYROLL FEES,64.93,,843.03,NA,B,Professional Services,N
4/15/2022,Deposit ACH Texas Windstrom/TYPE: PAYABLES ID: 2746189303 DATA: DYNAMICS EFT DEPOSIT CO: Texas Windstrom,,8941.54,8025.72,NA,B,Deposit,N
4/15/2022,Deposit ACH INTUIT 44447895/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 44447895,,1363.95,1005.32,NA,B,Deposit,N
4/15/2022,Check 2503 Tracer 814100000519539,1000,,7025.72,NA,B,Labor,N
4/15/2022,Withdrawal POS #668453/POS 7-ELEVEN 36609 10800 RESEARCH BLVD AUSTIN TX Card 2675Merchant Category Code: 5542,58.02,,-915.82,2675,B,Gas,N
4/15/2022,Withdrawal ACH INTUIT 07376145/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 07376145,46.62,,958.7,NA,B,Fee,N
4/15/2022,Withdrawal ACH HUMANA COMPBENEF/TYPE: 7709988936 ID: 2591843760 CO: HUMANA COMPBENEF,50.74,,907.96,NA,B,Health Insurance,Y
4/15/2022,Withdrawal ACH ATT/TYPE: Payment ID: 9864031005 CO: ATT,101.29,,741.74,0001,B,Phone,N
4/15/2022,Withdrawal DEBIT CARD/PRO SERVE ENTERPRISE 512-326-2811 TX Date 04/13/22 24251382104017025244499 Card 2272Merchant Category Code: 2842,127.85,,-30.07,3341,B,Supplies,N
4/15/2022,Withdrawal DEBIT CARD/PRO SERVE ENTERPRISE 512-326-2811 TX Date 04/13/22 24251382104017025244507 Card 2272Merchant Category Code: 2842,328.56,,-358.63,3341,B,Supplies,N
4/15/2022,Withdrawal ACH CAPITAL ONE/TYPE: MOBILE PMT ID: 9279744980 CO: CAPITAL ONE,250,,491.74,0001,B,Credit Card,Y
4/15/2022,Withdrawal ACH DISCOVER/TYPE: E-PAYMENT ID: 3510020270 DATA: DC PYMNTS DCIDPIINT CO: DISCOVER,500,,-8.26,0001,B,Credit Card,Y
4/15/2022,Withdrawal ACH THE GUARDIAN/TYPE: INSUR PREM ID: 9555845001 CO: THE GUARDIAN,849.54,,-857.8,NA,P,Life Insurance,Y
4/16/2022,Deposit Bulk/Checks 151.55 Check Count 1 Deposit Number 0000009,,151.55,6411.47,NA,B,Deposit,N
4/16/2022,Recurring Withdrawal DEBIT CARD/SMALLSFORSMALLS.COM SMALLS.COM NY Date 04/16/22 24492162106000028997126 Card 0718Merchant Category Code: 5499,342,,1285.83,0718,P,Pet,N
4/16/2022,Check 2510 Tracer 814200000219001,2740,,1627.83,NA,B,Labor,N
4/16/2022,Withdrawal Cash,900,,4488.97,NA,B,Withdrawal,N
4/16/2022,Withdrawal DEBIT CARD/TST* ESTANCIA BRAZILIAN S AUSTIN TX Date 04/16/22 24137462106501073673319 Card 2272Merchant Category Code: 5812,1022.5,,5388.97,3341,B,Food,N
4/16/2022,Withdrawal ATM Fee/ATM ALI01176 1410 W WHITESTONE BLVD PARK TX Card 2272Merchant Category Code: 6011,1,,6259.92,3341,B,Withdrawal,N
4/16/2022,Withdrawal at ATM #210614308755/ATM ALI01176 1410 W WHITESTONE BLVD PARK TX Card 2272Merchant Category Code: 6011,23,,6260.92,3341,B,Withdrawal,N
4/16/2022,Withdrawal DEBIT CARD/TARGET 00023424 CEDAR PARK TX Date 04/15/22 24164072106091017119762 Card 4969Merchant Category Code: 5411,167.38,,6283.92,4969,P,Groceries,N
4/16/2022,Withdrawal DEBIT CARD/H-E-B #265 CEDAR PARK TX Date 04/15/22 24427332105740289789684 Card 4969Merchant Category Code: 5411,224.06,,6563.66,4969,P,Groceries,N
4/16/2022,Uncollected Fee/Due since 04/15/22 - Courtesy Pay-Dbt,34,,6787.72,NA,B,Fee,N
4/16/2022,Uncollected Fee/Due since 04/15/22 - Courtesy Pay-ACH,34,,6821.72,NA,B,Fee,N
4/16/2022,Uncollected Fee/Due since 04/15/22 - Courtesy Pay-ACH,34,,6855.72,NA,B,Fee,N
4/16/2022,Uncollected Fee/Due since 04/15/22 - Courtesy Pay-Dbt,34,,6889.72,NA,B,Fee,N
4/16/2022,Uncollected Fee/Due since 04/15/22 - Courtesy Pay-Dbt,34,,6923.72,NA,B,Fee,N
4/16/2022,Uncollected Fee/Due since 04/14/22 - Courtesy Pay-Dbt,34,,6957.72,NA,B,Fee,N
4/16/2022,Uncollected Fee/Due since 04/14/22 - Courtesy Pay-ACH,34,,6991.72,NA,B,Fee,N
4/16/2022,Withdrawal DEBIT CARD/CITY OF SAN ANTONIO 210-207-1111 TX Date 04/16/22 24692162106100771576982 Card 4969Merchant Category Code: 9399,121.14,,4367.83,4969,P,Utilities,Y
4/16/2022,Withdrawal DEBIT CARD/TEXASGASSERVICE 800-700-2443 OK Date 04/15/22 24492152105745014708497 Card 0718Merchant Category Code: 4900,112.36,,6451.3,0718,B,Utilities,Y
4/17/2022,Withdrawal DEBIT CARD/China Cafe Austin TX Date 04/16/22 24744552107240001113567 Card 2272Merchant Category Code: 5812,43.93,,1013.12,3341,P,Food,N
4/17/2022,Withdrawal DEBIT CARD/SP NINABERENATO 917-2025034 TX Date 04/16/22 24492162107000001255178 Card 4969Merchant Category Code: 5944,75.78,,1210.05,4969,P,Recreational,N
4/17/2022,Withdrawal DEBIT CARD/TAMU NEW STUDENT CONFE 979-845-5209 TX Date 04/17/22 24692162107100240462375 Card 0718Merchant Category Code: 8220,153,,1057.05,0718,P,Recreational,N
4/18/2022,Withdrawal ACH AMEX EPAYMENT/TYPE: ACH PMT ID: 0005000008 DATA: ER AM CO: AMEX EPAYMENT,449,,4094.67,0001,B,Credit Card,Y
4/18/2022,Withdrawal ACH ATT/TYPE: Payment ID: 9864031004 CO: ATT,80,,4879.33,0001,B,Internet,Y
4/18/2022,Deposit ACH INTUIT 54416965/TYPE: DEPOSIT ID: 9215986202 CO: INTUIT 54416965,,3975.21,4988.33,NA,B,Deposit,N
4/18/2022,Check 2505 Tracer 814400000447783,1410,,5595.25,NA,B,Labor,N
4/18/2022,Check 2504 Tracer 814400000447781,2800,,7005.25,NA,B,Labor,N
4/18/2022,Withdrawal DEBIT CARD/RANDALLS #3145 LEANDER TX Date 04/17/22 24231682108837001207325 Card 4969Merchant Category Code: 5411,89.42,,9805.25,4969,P,Groceries,N
4/18/2022,Withdrawal ACH INTUIT 17455225/TYPE: TRAN FEE ID: 9215986202 CO: INTUIT 17455225,135.66,,4743.67,NA,B,Fee,N
4/18/2022,Withdrawal ACH HOME DEPOT/TYPE: AUTO PYMT ID: CITIAUTFDR CO: HOME DEPOT,29,,4959.33,0001,B,Supplies,Y
4/18/2022,Withdrawal ACH CHASE CREDIT CRD/TYPE: EPAY ID: 5760039224 CO: CHASE CREDIT CRD NAME: ARACELI VAZQUEZ,200,,4543.67,0001,P,Credit Card,Y
4/18/2022,Withdrawal Transfer To Loan 00,200,,9894.67,0001,B,Loan,Y
4/19/2022,"Deposit Bulk/Checks 4,910.22 Check Count 1 Deposit Number 0000026",,4910.22,9218.05,NA,B,Deposit,N
4/19/2022,Check 2511 Tracer 814500000494382,3405.5,,3344.41,NA,B,Labor,N
4/19/2022,Check 2509 Tracer 814500000493930,750,,6749.91,NA,B,Labor,N
4/19/2022,Withdrawal DEBIT CARD/CHEVRON 0155648 AUSTIN TX Date 04/19/22 24692162109100215894618 Card 2675Merchant Category Code: 5542,38.99,,7499.91,2675,B,Gas,N
4/19/2022,Withdrawal DEBIT CARD/EL POLLO RICO 9 CEDAR PARK TX Date 04/18/22 24013392109002018068546 Card 4969Merchant Category Code: 5812,37,,7538.9,4969,P,Food,N
4/19/2022,Withdrawal DEBIT CARD/IN N OUT BURGER 294 CEDAR PARK TX Date 04/18/22 24013392109002022046280 Card 4969Merchant Category Code: 5814,17.37,,7575.9,4969,P,Food,N
4/19/2022,Withdrawal DEBIT CARD/GLORIAS RESTAURANT #11 AUSTIN TX Date 04/18/22 24231682109796424447216 Card 0001Merchant Category Code: 5812,88.78,,7593.27,0001,P,Food,N
4/19/2022,Check 2506 Tracer 814500000249001,1536,,7682.05,NA,B,Labor,N
4/19/2022,Withdrawal ACH ALLSTATE INS CO/TYPE: INS PREM ID: 1360719665 DATA: ACH.EZPR02010 S CO: ALLSTATE INS CO,655.76,,4307.83,NA,B,Auto Insurance,Y
4/19/2022,Withdrawal ACH ALLSTATE INS CO/TYPE: INS PREM ID: 1360719665 DATA: ACH.EZPR02010 S CO: ALLSTATE INS CO,75.73,,5163.59,NA,B,Auto Insurance,Y
4/19/2022,Withdrawal DEBIT CARD/PAYPAL *HITECHPOWER HITEC 402-935-7733 Date 04/18/22 24492152108852356806934 Card 2272Merchant Category Code: 4816,159.37,,5435.88,3341,B,Professional Services,N
4/19/2022,Withdrawal DEBIT CARD/PAYPAL *HITECHPOWER HITEC 402-935-7733 Date 04/18/22 24492152108852356960087 Card 2272Merchant Category Code: 4816,196.56,,5239.32,3341,B,Professional Services,N
